"Date","Price","Open","High","Low","Change %"
"Apr 28, 2019","1,285.94","1,286.76","1,286.76","1,285.82","-0.01%"
"Apr 26, 2019","1,286.01","1,278.66","1,288.77","1,274.45","0.57%"
"Apr 25, 2019","1,278.71","1,274.78","1,282.63","1,273.43","0.31%"
"Apr 24, 2019","1,274.79","1,271.54","1,278.57","1,268.85","0.26%"
"Apr 23, 2019","1,271.53","1,274.83","1,276.56","1,266.43","-0.25%"
"Apr 22, 2019","1,274.72","1,276.86","1,279.87","1,273.89","-0.17%"
"Apr 21, 2019","1,276.86","1,275.80","1,277.30","1,275.55","0.09%"
"Apr 18, 2019","1,275.68","1,274.28","1,277.70","1,271.35","0.11%"
"Apr 17, 2019","1,274.28","1,276.62","1,279.85","1,273.15","-0.19%"
"Apr 16, 2019","1,276.68","1,288.44","1,288.45","1,273.04","-0.91%"
"Apr 15, 2019","1,288.44","1,289.78","1,290.47","1,282.61","-0.11%"
"Apr 14, 2019","1,289.85","1,291.22","1,292.01","1,289.45","-0.07%"
"Apr 12, 2019","1,290.69","1,292.19","1,295.84","1,290.15","-0.13%"
"Apr 11, 2019","1,292.33","1,308.17","1,308.43","1,289.71","-1.21%"
"Apr 10, 2019","1,308.15","1,304.66","1,310.65","1,301.04","0.26%"
"Apr 09, 2019","1,304.74","1,298.02","1,306.24","1,296.70","0.51%"
"Apr 08, 2019","1,298.10","1,291.85","1,303.78","1,291.78","0.48%"
"Apr 07, 2019","1,291.91","1,291.81","1,293.37","1,291.51","0.03%"
"Apr 05, 2019","1,291.55","1,292.26","1,293.23","1,284.59","-0.05%"
"Apr 04, 2019","1,292.23","1,291.91","1,294.45","1,281.02","0.02%"
"Apr 03, 2019","1,291.91","1,291.78","1,294.66","1,288.49","0.00%"
"Apr 02, 2019","1,291.87","1,287.48","1,292.94","1,285.45","0.34%"
"Apr 01, 2019","1,287.49","1,291.84","1,297.05","1,286.55","-0.34%"
"Mar 31, 2019","1,291.84","1,292.28","1,293.32","1,291.57","-0.03%"
"Mar 29, 2019","1,292.18","1,291.64","1,299.84","1,286.80","0.04%"
"Mar 28, 2019","1,291.64","1,309.39","1,312.39","1,288.64","-1.36%"
"Mar 27, 2019","1,309.49","1,316.54","1,319.38","1,308.23","-0.53%"
"Mar 26, 2019","1,316.52","1,321.40","1,322.26","1,312.79","-0.37%"
"Mar 25, 2019","1,321.39","1,311.72","1,324.57","1,311.09","0.73%"
"Mar 24, 2019","1,311.79","1,313.90","1,314.13","1,311.78","-0.13%"
"Mar 22, 2019","1,313.44","1,308.70","1,315.02","1,306.91","0.37%"
"Mar 21, 2019","1,308.65","1,315.54","1,320.42","1,303.41","-0.52%"
"Mar 20, 2019","1,315.51","1,306.31","1,317.05","1,298.79","0.70%"
"Mar 19, 2019","1,306.33","1,303.58","1,310.93","1,303.53","0.21%"
"Mar 18, 2019","1,303.57","1,300.70","1,306.72","1,298.31","0.22%"
"Mar 17, 2019","1,300.70","1,302.12","1,302.67","1,300.68","-0.12%"
"Mar 15, 2019","1,302.23","1,296.20","1,306.45","1,294.06","0.47%"
"Mar 14, 2019","1,296.20","1,309.52","1,309.88","1,292.96","-1.01%"
"Mar 13, 2019","1,309.49","1,302.03","1,311.30","1,301.81","0.57%"
"Mar 12, 2019","1,302.02","1,292.71","1,302.24","1,292.53","0.72%"
"Mar 11, 2019","1,292.69","1,297.38","1,299.19","1,290.55","-0.36%"
"Mar 10, 2019","1,297.37","1,298.09","1,298.17","1,296.29","-0.08%"
"Mar 08, 2019","1,298.38","1,286.10","1,300.80","1,285.30","0.96%"
"Mar 07, 2019","1,286.06","1,287.22","1,289.09","1,280.93","-0.09%"
"Mar 06, 2019","1,287.18","1,288.01","1,290.99","1,283.69","-0.06%"
"Mar 05, 2019","1,288.01","1,287.09","1,289.62","1,281.33","0.06%"
"Mar 04, 2019","1,287.18","1,295.32","1,297.11","1,282.92","-0.63%"
"Mar 03, 2019","1,295.32","1,293.57","1,296.20","1,293.57","0.14%"
"Mar 01, 2019","1,293.52","1,314.33","1,315.24","1,290.24","-1.58%"
"Feb 28, 2019","1,314.32","1,321.19","1,327.34","1,312.65","-0.52%"
"Feb 27, 2019","1,321.21","1,329.41","1,329.94","1,317.04","-0.61%"
"Feb 26, 2019","1,329.33","1,327.60","1,330.25","1,323.59","0.13%"
"Feb 25, 2019","1,327.61","1,327.82","1,332.62","1,325.24","-0.01%"
"Feb 24, 2019","1,327.80","1,329.22","1,329.23","1,326.97","-0.03%"
"Feb 22, 2019","1,328.16","1,325.96","1,333.18","1,321.62","0.17%"
"Feb 21, 2019","1,325.93","1,340.72","1,341.58","1,321.28","-1.10%"
"Feb 20, 2019","1,340.70","1,339.67","1,346.79","1,336.94","0.08%"
"Feb 19, 2019","1,339.63","1,326.51","1,341.93","1,322.95","0.99%"
"Feb 18, 2019","1,326.52","1,321.33","1,327.69","1,320.97","0.40%"
"Feb 17, 2019","1,321.20","1,321.40","1,321.80","1,320.76","-0.02%"
"Feb 15, 2019","1,321.41","1,312.01","1,322.59","1,311.50","0.72%"
"Feb 14, 2019","1,312.00","1,307.74","1,314.41","1,302.57","0.33%"
"Feb 13, 2019","1,307.74","1,310.26","1,318.24","1,305.12","-0.20%"
"Feb 12, 2019","1,310.35","1,307.76","1,314.81","1,306.58","0.19%"
"Feb 11, 2019","1,307.84","1,313.76","1,314.93","1,303.79","-0.45%"
"Feb 10, 2019","1,313.76","1,314.33","1,314.33","1,313.45","-0.04%"
"Feb 08, 2019","1,314.26","1,310.53","1,315.69","1,307.85","0.29%"
"Feb 07, 2019","1,310.51","1,306.70","1,312.00","1,302.88","0.29%"
"Feb 06, 2019","1,306.69","1,315.06","1,315.88","1,305.76","-0.64%"
"Feb 05, 2019","1,315.06","1,311.78","1,316.93","1,310.80","0.25%"
"Feb 04, 2019","1,311.83","1,317.18","1,317.59","1,308.72","-0.41%"
"Feb 03, 2019","1,317.25","1,318.09","1,319.11","1,316.62","-0.03%"
"Feb 01, 2019","1,317.65","1,321.12","1,323.58","1,316.19","-0.26%"
"Jan 31, 2019","1,321.13","1,319.32","1,326.32","1,317.53","0.14%"
"Jan 30, 2019","1,319.32","1,310.79","1,323.43","1,309.10","0.65%"
"Jan 29, 2019","1,310.78","1,304.01","1,312.03","1,302.79","0.52%"
"Jan 28, 2019","1,303.95","1,300.17","1,304.49","1,297.84","0.29%"
"Jan 27, 2019","1,300.14","1,301.41","1,302.88","1,300.06","-0.25%"
"Jan 25, 2019","1,303.37","1,281.42","1,303.96","1,280.03","1.71%"
"Jan 24, 2019","1,281.48","1,283.84","1,284.86","1,276.90","-0.18%"
"Jan 23, 2019","1,283.84","1,284.66","1,286.52","1,278.74","-0.06%"
"Jan 22, 2019","1,284.66","1,279.78","1,285.55","1,277.52","0.38%"
